부문 구분,category,artist,title,이미지
베스트,올해의 앨범,G-DRAGON,Übermensch,https://cdnimg.melon.co.kr/cm2/album/images/117/22/169/11722169_20250224160403_500.jpg?df31ad712fff6724758b97cff3094bc2/melon/resize/400/quality/80/optimize
베스트,올해의 아티스트,G-DRAGON,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/0e/167/202512191137536920.png/melon/quality/90/optimize
베스트,올해의 베스트송,G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",cdnimg.melon.co.kr/cm2/album/images/116/47/670/11647670_20241121150855_500.jpg?ca3667d3396803e3f6b227e77440b735/melon/resize/400/quality/80/optimize
베스트,올해의 레코드,제니 (JENNIE),like JENNIE,cdnimg.melon.co.kr/cm2/album/images/117/30/946/11730946_20250307173452_500.jpg?4bb4ad8df2c3d590e5b8445c1e81c9a3/melon/resize/400/quality/80/optimize
베스트,올해의 신인,ALLDAY PROJECT,,cdnimg.melon.co.kr/cm2/artistcrop/images/043/46/804/4346806_20251201114005_500.jpg?YUV444/melon/resize/400/quality/80/optimize
베스트,올해의 신인,Hearts2Hearts (하츠투하츠),,cdnimg.melon.co.kr/cm2/artistcrop/images/040/96/106/4096106_20251017110625_500.jpg?e41945ea32bde3f24c9b06a4bcb55c9a/melon/resize/400/quality/80/optimize
베스트상,베스트 솔로 여자,로제 (ROSÉ),,cdnimg.melon.co.kr/cm2/artistcrop/images/009/95/171/995171_20241119160749_500.jpg?b331813ac87a806706e2a8fca7befbbe/melon/resize/400/quality/80/optimize
베스트상,베스트 솔로 남자,G-DRAGON,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/59/740/202512191138189613.png/melon/quality/90/optimize
베스트상,베스트 그룹 여자,IVE (아이브),,cdnimg.melon.co.kr/cm2/artistcrop/images/030/55/146/3055146_20250811163829_500.jpg?9896f82272595273f1a1648fc14a8e1a/melon/resize/400/quality/80/optimize
베스트상,베스트 그룹 남자,BOYNEXTDOOR,,https://cdnimg.melon.co.kr/svc/images/mma/2025/12/61/0ee/202512181535599637.png/melon/quality/90/optimize
