year,week,week_start,week_end,rank,title,artist,album,like_cnt
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,1,strawberry moon,아이유,strawberry moon,238516
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,2,Savage,aespa,Savage - The 1st Mini Album,168720
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,3,신호등,이무진,신호등,319012
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,4,Next Level,aespa,Next Level,274213
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,5,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),222941
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,6,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,244795
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,7,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,199867
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,8,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,193864
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,9,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,237239
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,10,Permission to Dance,방탄소년단,Butter / Permission to Dance,232541
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,11,너를 생각해,주시크 (Joosiq),너를 생각해,171903
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,12,Weekend,태연 (TAEYEON),Weekend,207699
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,13,Butter,방탄소년단,Butter,301147
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,14,헤픈 우연,헤이즈 (Heize),HAPPEN,212389
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,15,고백,멜로망스,세 번째 '고백',126190
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,16,Dynamite,방탄소년단,Dynamite (DayTime Version),466623
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,17,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,99239
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,18,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌),79617
2021,2021.10.25 ~ 2021.10.31,2021-10-25,2021-10-31,19,라일락,아이유,IU 5th Album 'LILAC',267734
