title,artist,album,total_base_score,total_bonus_score,chart_in_weeks,top1_count,top10_count,max_likes,like_score,raw_music_score,normalized_music_score,total_score
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,4911,63,56,0,26,237239,68.21734779845576,4974,100.0,90.46520433953673
취중고백,김민석 (멜로망스),취중고백,4139,673,48,6,22,205176,63.44027656785407,4812,96.74306393244873,86.75222772307032
신호등,이무진,신호등,4413,23,56,0,5,319012,79.10524831530694,4436,89.1837555287495,86.16020336471672
다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),4591,9,56,0,9,222941,66.12973169027768,4600,92.48090068355448,84.57554998557144
Dynamite,방탄소년단,Dynamite (DayTime Version),3581,0,56,0,0,466631,95.67282146193341,3581,71.99437072778449,79.09790594802917
ELEVEN,IVE (아이브),ELEVEN,4243,15,51,0,15,201672,62.896226558535226,4258,85.60514676316848,78.7924707017785
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2,3772,315,54,1,17,238900,68.45573899075596,4087,82.16726980297547,78.05381055930961
Next Level,aespa,Next Level,3936,4,56,0,4,274221,73.34189775651969,3940,79.21190188982709,77.45090064983486
strawberry moon,아이유,strawberry moon,3771,227,56,2,10,238516,68.40070011363849,3998,80.37796542018496,76.78478582822102
TOMBOY,i-dle (아이들),I NEVER DIE,3353,537,36,3,23,245784,69.43502435147363,3890,78.20667470848412,75.57517960138097
LOVE DIVE,IVE (아이브),LOVE DIVE,3165,473,33,3,29,263036,71.83058179106693,3638,73.14032971451549,72.74740533748091
봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life),2689,528,33,5,14,358442,83.85157687594047,3217,64.67631684760757,70.42889485610743
Butter,방탄소년단,Butter,3337,0,56,0,0,301147,76.85835035741248,3337,67.08886208283073,70.01970856520525
너를 생각해,주시크 (Joosiq),너를 생각해,3708,1,56,0,1,171904,58.069057792044546,3709,74.56775231202252,69.61814395602913
리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3,3233,357,52,3,14,204326,63.30873048012216,3590,72.17531162042621,69.51533727833498
사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),3440,21,39,0,21,235805,68.01086414711408,3461,69.58182549256132,69.11053708892715
Weekend,태연 (TAEYEON),Weekend,3486,0,56,0,0,207699,63.829139704329904,3486,70.08443908323281,68.20784926956193
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,2747,0,56,0,0,438253,92.71803887229443,2747,55.22718134298351,66.47443860177678
OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,3145,3,56,0,3,244795,69.29518518526562,3148,63.28910333735425,65.09092789172766
Celebrity,아이유,IU 5th Album 'LILAC',2700,0,56,0,0,349283,82.77334622478362,2700,54.28226779252111,62.82959132219986
INVU,태연 (TAEYEON),INVU - The 3rd Album,2938,347,40,3,12,154957,55.132462164983686,3285,66.04342581423401,62.77013671945891
바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,3110,2,56,0,2,193865,61.66681139847546,3112,62.5653397667873,62.29578125629375
