부문 구분,category,아티스트,곡명,앨범,이미지
올해의 수상자,아티스트상,방탄소년단,,,https://cdnimg.melon.co.kr/svc/images/mma/cdnImg20210602020116.jpg
올해의 수상자,앨범상,방탄소년단,,MAP OF THE SOUL : 7,https://cdnimg.melon.co.kr/cm2/album/images/103/77/346/10377346_20200221153622_500.jpg?83be62273cc86af9dea0468302203f11/melon/resize/400/quality/80/optimize
올해의 수상자,베스트송상,방탄소년단,Dynamite,,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg?45d847d7dc536eecebd648786c2ea37c/melon/resize/400/quality/80/optimize
신인상,신인상(남자부문),CRAVITY,,,https://cdnimg.melon.co.kr/svc/images/mma/cdnImg20210602020408.jpg
신인상,신인상(여자부문),Weeekly (위클리),,,https://cdnimg.melon.co.kr/svc/images/mma/cdnImg20210602020608.jpg
인기상,네티즌 인기상,방탄소년단,,,https://cdnimg.melon.co.kr/svc/images/mma/cdnImg20210602021055.jpg
인기상,핫트렌드상,미스터트롯 TOP6,,,https://cdnimg.melon.co.kr/svc/images/mma/cdnImg20210602020948.jpg
장르상,댄스 (남자부문),방탄소년단,Dynamite,,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg?45d847d7dc536eecebd648786c2ea37c/melon/resize/400/quality/80/optimize
장르상,댄스 (여자부문),BLACKPINK,How You Like That,,https://cdnimg.melon.co.kr/cm2/album/images/104/51/566/10451566_20200626114914_500.jpg?d94b8ff3526c8b4807aa4f719f1b929a/melon/resize/400/quality/80/optimize
장르상,록,아이유,에잇(Prod.&Feat. SUGA of BTS),,https://cdnimg.melon.co.kr/cm2/album/images/104/26/648/10426648_20200506153340_500.jpg?0ed92b652a9149e26387233529a32781/melon/resize/400/quality/80/optimize
장르상,OST,조정석,아로하,,https://cdnimg.melon.co.kr/cm2/album/images/104/09/054/10409054_20200326163459_500.jpg?bd91fef6249cc3926545d7d163e35325/melon/resize/400/quality/80/optimize
장르상,R&B/ Soul,백예린 (Yerin Baek),Square (2017),,https://cdnimg.melon.co.kr/cm2/album/images/103/62/776/10362776_20191210144641_500.jpg?72384ea6f2169ad829dd9450d2382fe3/melon/resize/400/quality/80/optimize
