year,week,rank,title,artist,album,like_cnt
2020,12.30~01.05,1,METEOR,창모 (CHANGMO),Boyhood,312714
2020,12.30~01.05,2,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale,247484
2020,12.30~01.05,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따,Dingo X DAMOIM (Part 2),167122
2020,12.30~01.05,4,Blueming,아이유,Love poem,369738
2020,12.30~01.05,5,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,227387
2020,12.30~01.05,6,Square (2017),백예린 (Yerin Baek),Every letter I sent you.,316268
2020,12.30~01.05,7,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어",79299
2020,12.30~01.05,8,HIP,마마무 (Mamamoo),reality in BLACK,136737
2020,12.30~01.05,9,Love poem,아이유,Love poem,353771
2020,12.30~01.05,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,495131
2020,12.30~01.05,11,나의 오랜 연인에게,다비치,나의 오랜 연인에게,93587
2020,12.30~01.05,12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,320124
2020,12.30~01.05,13,헤어진 우리가 지켜야 할 것들,김나영,헤어진 우리가 지켜야 할 것들,86103
2020,12.30~01.05,14,조금 취했어 (Prod. 2soo),임재현,조금 취했어,136257
2020,12.30~01.05,15,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,294543
2020,12.30~01.05,16,십이월 이십오일의 고백,정승환,십이월 이십오일의 고백,77990
2020,12.30~01.05,17,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,144156
2020,12.30~01.05,18,안녕,폴킴,호텔 델루나 OST Part.10,224279
2020,12.30~01.05,19,이 번호로 전화해줘,바이브,이 번호로 전화해줘,71990
2020,12.30~01.05,20,새 사랑,송하예,새 사랑,104821
2020,12.30~01.05,21,빌었어,창모 (CHANGMO),Boyhood,164586
2020,12.30~01.05,22,"인기 (Feat. 송가인, 챈슬러)",MC몽,CHANNEL 8,85371
2020,12.30~01.05,23,있어줘요,장덕철,있어줘요,92085
2020,12.30~01.05,24,첫 겨울이니까,성시경,첫 겨울이니까,60894
2020,12.30~01.05,25,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,416075
2020,12.30~01.05,26,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,230206
2020,12.30~01.05,27,포장마차,황인욱,포장마차,167627
2020,12.30~01.05,28,니 소식,송하예,니 소식,208909
2020,12.30~01.05,29,이별주,황인욱,이별주,66032
2020,12.30~01.05,30,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,438247
2020,12.30~01.05,31,다시 만날까 봐,V.O.S,다시 만날까 봐,104513
2020,12.30~01.05,32,BAND,창모 (CHANGMO),BAND,141247
2020,12.30~01.05,33,Obsession,EXO,OBSESSION - The 6th Album,115422
2020,12.30~01.05,34,시간의 바깥,아이유,Love poem,154175
2020,12.30~01.05,35,불티 (Spark),태연 (TAEYEON),Purpose - The 2nd Album,122905
2020,12.30~01.05,36,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,236156
2020,12.30~01.05,37,기억해줘요 내 모든 날과 그때를,거미 (GUMMY),호텔 델루나 OST Part.7,184587
2020,12.30~01.05,38,사랑이 식었다고 말해도 돼,먼데이 키즈,사랑이 식었다고 말해도 돼,134693
2020,12.30~01.05,39,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원),차가워진 이 바람엔 우리가 써있어(Bad Love),86216
2020,12.30~01.05,40,워커홀릭,볼빨간사춘기,Two Five,148150
2020,12.30~01.05,41,너를 만나,폴킴,너를 만나,320731
2020,12.30~01.05,42,술이 문제야,장혜진,술이 문제야,154260
2020,12.30~01.05,43,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,252581
2020,12.30~01.05,44,숨겨진 세상 (Into the Unknown End Credit Version),태연 (TAEYEON),겨울왕국 2 (한국어 버전),79002
