year,week,week_start,week_end,rank,title,artist,album,like_cnt
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,1,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,495320
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,2,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3,320118
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,3,조금 취했어 (Prod. 2soo),임재현,조금 취했어,136247
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,4,워커홀릭,볼빨간사춘기,Two Five,148140
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,5,안녕,폴킴,호텔 델루나 OST Part.10,224259
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,6,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,294524
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,7,가을밤 떠난 너,케이시 (Kassy),Rewind,154858
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,8,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯,230202
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,9,가끔 이러다,펀치 (Punch),가끔 이러다,71913
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,10,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어,144148
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,11,기억해줘요 내 모든 날과 그때를,거미 (GUMMY),호텔 델루나 OST Part.7,184583
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,12,Feel Special,TWICE (트와이스),Feel Special,122612
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,13,헤어지자 (Prod. 정키),휘인 (Whee In),soar,126767
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,14,포장마차,황인욱,포장마차,167600
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,15,니 소식,송하예,니 소식,208912
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,16,"천둥벌거숭이 (Feat. Jvcki Wai, 염따)",지코 (ZICO),THINKING Part.1,65212
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,17,그대라는 시,태연 (TAEYEON),호텔 델루나 OST Part.3,252566
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,18,술이 문제야,장혜진,술이 문제야,154247
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,19,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면,236138
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,20,우리 어떻게 할까요,첸 (CHEN),사랑하는 그대에게 - The 2nd Mini Album,94044
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,21,사랑이 식었다고 말해도 돼,먼데이 키즈,사랑이 식었다고 말해도 돼,134695
2019,2019.09.30 ~ 2019.10.06,2019.09.30,2019.10.06,22,달,AKMU (악뮤),항해,62093
