year,week,week_start,week_end,rank,title,artist,album,like_cnt
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,1,신호등,이무진,신호등,319012
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,2,Next Level,aespa,Next Level,274213
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,3,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집,193864
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,4,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE,199866
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,5,Weekend,태연 (TAEYEON),Weekend,207699
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,6,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album,125291
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,7,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT,244795
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,8,Permission to Dance,방탄소년단,Butter / Permission to Dance,232541
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,9,DUMB DUMB,전소미,DUMB DUMB,106217
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,10,Butter,방탄소년단,Butter,301147
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,11,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5,99239
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,12,헤픈 우연,헤이즈 (Heize),HAPPEN,212389
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,13,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1,135670
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,14,Dynamite,방탄소년단,Dynamite (DayTime Version),466623
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,15,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL,170936
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,16,롤린 (Rollin'),브레이브걸스,Rollin',301506
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,17,라일락,아이유,IU 5th Album 'LILAC',267734
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,18,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021),95503
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,19,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),222941
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,20,Celebrity,아이유,IU 5th Album 'LILAC',349279
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,21,고백,멜로망스,세 번째 '고백',126190
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,22,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌),79617
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,23,ASAP,STAYC(스테이씨),STAYDOM,158510
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,24,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen,96822
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,25,하루만 더,빅마마,하루만 더,63601
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,26,Alcohol-Free,TWICE (트와이스),Taste of Love,98012
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,27,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album,145782
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,28,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix,185532
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,29,운전만해 (We Ride),브레이브걸스,We Ride,137643
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,30,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2,67766
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,31,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게,140247
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,32,내 손을 잡아,아이유,최고의 사랑 OST Part.4,221716
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,33,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집,70620
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,34,여전히 아름다운지,세븐틴 (SEVENTEEN),슬기로운 의사생활 시즌2 OST Part 8,77160
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,35,밤하늘의 별을(2020),경서,밤하늘의 별을(2020),244780
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,36,멜로디,ASH ISLAND,멜로디,160417
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,37,Timeless,SG 워너비,Sg Wanna Be+,137372
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,38,상상더하기,라붐 (LABOUM),Fresh Adventure,138016
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,39,Lovesick Girls,BLACKPINK,THE ALBUM,249606
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,40,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,495320
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,41,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA,416020
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,42,아로하,조정석,슬기로운 의사생활 OST Part 3,265972
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,43,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아,121189
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,44,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래,132062
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,45,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,182690
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,46,Blueming,아이유,Love poem,369737
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,47,어푸 (Ah puh),아이유,IU 5th Album 'LILAC',142443
2021,2021.08.30 ~ 2021.09.05,2021.08.30,2021.09.05,48,잠이 오질 않네요,장범준,잠이 오질 않네요,174989
