artist,국적,활동유형,활동장르,데뷔(곡),멤버
김태리,대한민국,"여성, 솔로","국내영화, 국내드라마, 발라드",2016.08.25,
닐로(Nilo),대한민국,"남성, 솔로",발라드,2015.09.14,
레드벨벳-아이린&슬기,대한민국,"여성, 그룹","댄스, R&B/Soul, 일렉트로니카",2020.07.06,"아이린 (IRENE) , 슬기 (SEULGI)"
양요섭,대한민국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2012.11.26,
유아 (오마이걸),대한민국,"여성, 솔로","댄스, 발라드, 국내드라마",2020.09.07,
포맨 (4MEN),대한민국,"남성, 그룹","발라드, R&B/Soul, 국내드라마",1998.02.01,"윤요셉 , 하은 (포맨) , 한빈 (포맨)"
신예영,대한민국,"여성, 솔로","발라드, 국내드라마, 록/메탈",2019.11.20,
규현 (KYUHYUN),대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2014.11.13,
가비엔제이,대한민국,"여성, 그룹","발라드, R&B/Soul, 댄스",2005.11.11,"나예 (가비엔제이) , 루안 (가비엔제이) , 리엘 (가비엔제이) , 예잔 (가비엔제이)"
창모 (CHANGMO),대한민국,"남성, 솔로","랩/힙합, 국내드라마, 댄스",2014.06.10,
조이 (JOY),대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2017,
XIA (준수),대한민국,"남성, 솔로","발라드, 댄스, 국내드라마",2012.05.15,
곽진언,대한민국,"남성, 솔로","발라드, 국내드라마, 포크/블루스",2016.05.10,
"싹쓰리 (유두래곤, 린다G, 비룡)",대한민국,"혼성, 그룹",댄스,2020.07.11,"유두래곤 , 린다G , 비룡"
LUCY,대한민국,"남성, 그룹","록/메탈, 국내드라마, 애니메이션/웹툰",2020.05.08,"신예찬 , 최상엽 , 조원상 , 신광일"
WSG워너비 조별경연 (대청봉),대한민국,"여성, 그룹",,2022.05.28,
노아주다 (noahjooda),대한민국,"남성, 솔로","랩/힙합, 인디음악, R&B/Soul",2019.01.29,
브라운아이드걸스,대한민국,"여성, 그룹","댄스, 발라드, R&B/Soul",2006.03.02,"제아 , 나르샤 (Brown Eyed Girls) , 미료 , 가인"
허성현 (rosy),대한민국,"남성, 솔로","랩/힙합, 인디음악, R&B/Soul",2019.10.15,
몬스타엑스,대한민국,"남성, 그룹","댄스, 랩/힙합, POP",2015.05.14,"주헌 (몬스타엑스) , 셔누 (몬스타엑스) , 기현 (몬스타엑스) , 형원 (몬스타엑스) , 민혁 (몬스타엑스) , I.M (아이엠)"
하동균,대한민국,"남성, 솔로","발라드, 국내드라마, 록/메탈",2006.06.09,
ZEROBASEONE (제로베이스원),대한민국,"남성, 그룹","댄스, R&B/Soul, 국내드라마",2023.07.10,"성한빈 (ZEROBASEONE) , 김지웅 (ZEROBASEONE) , 석매튜 (ZEROBASEONE) , 김태래 (ZEROBASEONE) , 박건욱 (ZEROBASEONE)"
Sondia,대한민국,"여성, 솔로","국내드라마, 발라드, 록/메탈",2016.08.11,
MINO (송민호),대한민국,"남성, 그룹","댄스, 발라드, 랩/힙합",2014.08.17,"강승윤 , JINU (김진우) , MINO (송민호) , 이승훈"
NC.A,대한민국,"여성, 솔로","발라드, 댄스, 국내드라마",2013.08.12,
윤딴딴,대한민국,"남성, 솔로","포크/블루스, 인디음악, 국내드라마",2014.02.14,
민니 (MINNIE),타이 왕국,"여성, 솔로","국내드라마, 발라드, POP",2025.01.21,
Apink (에이핑크),대한민국,"여성, 그룹","댄스, 발라드, POP",2011.04.19,"정은지 , 박초롱 (에이핑크) , 오하영 (에이핑크) , 김남주 (에이핑크) , 윤보미 (에이핑크)"
김진표,대한민국,"남성, 솔로","랩/힙합, 국내드라마, 발라드",1997.06.01,
이수 (엠씨더맥스),대한민국,"남성, 솔로","발라드, 국내드라마, 국내영화",2008.04.15,
tripleS (트리플에스),대한민국,"여성, 그룹","댄스, R&B/Soul, 국내드라마",2023.02.13,"윤서연 , 정혜린 , 이지우 , 김채연 , 김유연 , 김수민 , 김나경 , 공유빈 , 카에데 , 서다현 , 니엔 , 박소현 , 신위 , 마유 , 코토네 , 곽연지 , 린 , 주빈 , 정하연 , 박시온 , 김채원 , 설린 , 서아 , 지연"
한동근,대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2014.09.30,
황치열,대한민국,"남성, 솔로","발라드, 국내드라마, 댄스",2007.02.12,
이승윤,대한민국,"남성, 솔로","록/메탈, 인디음악, 국내드라마",2013.05.07,
하이라이트 (HIGHLIGHT),대한민국,"남성, 그룹","댄스, 발라드, R&B/Soul",2017.03.20,"윤두준 , 양요섭 , 이기광 , 손동운"
정경호,대한민국,"남성, 솔로","국내드라마, 발라드, 록/메탈",2004.12.24,
죠지,대한민국,"남성, 솔로","R&B/Soul, 발라드, 국내드라마",2016.03.16,
미연 (MIYEON),대한민국,"여성, 솔로","국내드라마, 발라드, 댄스",2022.04.27,
#안녕,대한민국,"남성, 솔로","발라드, 인디음악, 국내드라마",2016.08.18,
GOT the beat,대한민국,"여성, 그룹",댄스,2022.01.03,"보아 (BoA) , 태연 (TAEYEON) , 효연 (HYOYEON) , 슬기 (SEULGI) , 웬디 (WENDY) , 카리나 (KARINA) , 윈터 (WINTER)"
잠골버스,대한민국,"남성, 그룹","발라드, 인디음악, 록/메탈",2020.01.28,"잠골버스(준헌) , 김용 , 정일호 , 정윤섭"
길구봉구,대한민국,"남성, 그룹","발라드, 국내드라마, 댄스",2013.04.01,"봉구 (길구봉구) , 길구 (길구봉구)"
세훈&찬열,대한민국,"남성, 그룹","랩/힙합, 일렉트로니카",2019.07.22,"세훈 (SEHUN) , 찬열 (CHANYEOL)"
오마이걸 (OH MY GIRL),대한민국,"여성, 그룹","댄스, 발라드, POP",2015.04.20,"효정 (오마이걸) , 미미 (오마이걸) , 유아 (오마이걸) , 승희 (오마이걸) , 유빈 (오마이걸) , 아린 (오마이걸)"
씨야,대한민국,"여성, 그룹","발라드, 댄스, 국내영화",2006.03.12,"남규리 , 김연지 , 이보람 (씨야)"
X1 (엑스원),대한민국,"남성, 그룹","댄스, 발라드",2019.08.27,"한승우 , 김우석 , WOODZ , 김요한 , 한결(BAE173) , 차준호 , 손동표 , 민희 (CRAVITY) , 은상 , 형준 (CRAVITY) , 도현"
호미들,대한민국,"남성, 그룹","랩/힙합, 인디음악, 댄스",2019.11.15,"CK , Louie , Chin"
이상순,대한민국,"남성, 솔로","발라드, 포크/블루스, 록/메탈",2018.03.04,
Raiden,대한민국,"남성, 솔로","일렉트로니카, 댄스, 국내드라마",2017.01.13,
존박,미국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2010.12.17,
STAYC(스테이씨),대한민국,"여성, 그룹","댄스, R&B/Soul, POP",2020.11.12,"수민 (SUMIN) , 시은 (SIEUN) , 아이사 (ISA) , 세은 (SEEUN) , 윤 (YOON) , 재이 (J)"
바이브,대한민국,"남성, 그룹","발라드, R&B/Soul, 댄스",2002.02.01,"윤민수(바이브) , 류재현"
에릭남 (Eric Nam),미국,"남성, 솔로","발라드, 댄스, POP",2013.01.23,
Kep1er (케플러),대한민국,"여성, 그룹","댄스, R&B/Soul, POP",2022.01.03,"최유진 (Kep1er) , 샤오팅 (Kep1er) , 김채현 (Kep1er) , 김다연 (Kep1er) , 히카루 (Kep1er) , 휴닝바히에 (Kep1er)"
카라,대한민국,"여성, 그룹","댄스, 발라드, 국내드라마",2007.03.29,"박규리 (카라) , 한승연 , 구하라 (카라) , 허영지 (카라) , 니콜 , 강지영"
휘인 (Whee In),대한민국,"여성, 솔로","발라드, R&B/Soul, 국내드라마",2018.04.17,
NSW yoon,대한민국,"남성, 솔로","랩/힙합, 인디음악, 월드뮤직",2021.06.23,
MC몽,대한민국,"남성, 솔로","랩/힙합, 댄스, 발라드",2004.04.23,
윤민수(바이브),대한민국,"남성, 솔로","발라드, R&B/Soul, CCM",2006.12.22,
린,대한민국,"여성, 솔로","발라드, R&B/Soul, 국내드라마",2002.11.22,
효린,대한민국,"여성, 솔로","발라드, 댄스, 국내드라마",2013.11.26,
이영현,대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2009.10.29,
V,대한민국,"남성, 솔로","R&B/Soul, 국내드라마, 발라드",2023.09.08,
WSG워너비(4FIRE),대한민국,"여성, 그룹","R&B/Soul, 발라드",2022.07.09,"나비 (Navi) , SOLE (쏠) , 엄지윤 , 권진아"
박봄 (Park Bom),대한민국,"여성, 솔로","발라드, R&B/Soul, 댄스",2009.10.28,
송하예,대한민국,"여성, 솔로","발라드, 국내드라마, 댄스",2014.08.08,
뉴이스트,대한민국,"남성, 그룹","댄스, 발라드, R&B/Soul",2012.03.15,"김종현(JR) , 아론 , 백호 , 황민현 , 렌 (REN)"
주호,대한민국,"남성, 솔로","발라드, 국내드라마, R&B/Soul",2016.02.16,
송가인,대한민국,"여성, 솔로","성인가요/트로트, 발라드, 국내드라마",2012.10.12,
2BIC(투빅),대한민국,"남성, 그룹","발라드, R&B/Soul, 국내드라마",2012.03.14,"지환 (2BIC) , 준형 (2BIC)"
빈첸,대한민국,"남성, 솔로","랩/힙합, 발라드",2018.05.09,
이소정,대한민국,"여성, 솔로","발라드, 국내드라마, R&B/Soul",2017.05.04,
릴보이 (lIlBOI),대한민국,"남성, 솔로","랩/힙합, 국내드라마, 댄스",2018.12.07,
조정석,대한민국,"남성, 솔로","국내드라마, 발라드, 포크/블루스",2015.08.28,
헨리 (HENRY),캐나다,"남성, 솔로","발라드, 댄스, R&B/Soul",2013.06.07,
빅마마,대한민국,"여성, 그룹","R&B/Soul, 발라드, 댄스",2003.02.06,"신연아 , 이영현 , 박민혜 (빅마마) , 이지영 (빅마마)"
펭수,대한민국,솔로,"댄스, 랩/힙합",2020.04.21,
윤토벤,대한민국,"남성, 솔로","발라드, 인디음악, 댄스",2019.08.01,
거미 (GUMMY),대한민국,"여성, 솔로","발라드, R&B/Soul, 국내드라마",2003.02.01,
Zion.T,대한민국,"남성, 솔로","R&B/Soul, 랩/힙합, 댄스",2011.04.29,
