아티스트명,국적,활동장르,데뷔,멤버,성별,구성
로제 (ROSÉ),대한민국,"록/메탈, POP, 발라드",2021.03.12,,여성,솔로
aespa,대한민국,"댄스, 일렉트로니카, R&B/Soul",2020.11.17,"카리나 (KARINA), 지젤 (GISELLE), 윈터 (WINTER), 닝닝 (NINGNING)",여성,그룹
제니 (JENNIE),대한민국,"댄스, 국외드라마, POP",2018.11.12,,여성,솔로
DAY6 (데이식스),대한민국,"록/메탈, 댄스, 발라드",2015.09.07,"성진 (DAY6), Young K (DAY6), 원필 (DAY6), 도운 (DAY6)",남성,그룹
G-DRAGON,대한민국,"댄스, 랩/힙합, 발라드",2009.08.18,,남성,솔로
QWER,대한민국,"록/메탈, 일렉트로니카, 발라드",2023.10.18,"쵸단, 마젠타, 히나, 시연",여성,그룹
AKMU (악뮤),대한민국,"댄스, 포크/블루스, 발라드",2014.04.07,"이찬혁, 이수현",혼성,그룹
프로미스나인,대한민국,"댄스, 발라드, 국내드라마",2018.01.24,"송하영 (프로미스나인), 이채영 (프로미스나인), 이나경 (프로미스나인), 박지원 (프로미스나인), 백지헌 (프로미스나인)",여성,그룹
로이킴,대한민국,"발라드, 국내드라마, 포크/블루스",2013.04.22,,남성,솔로
이클립스 (ECLIPSE),대한민국,"국내드라마, 록/메탈, 발라드",2024.04,,남성,그룹
NewJeans,대한민국,"댄스, 국내드라마, 발라드",2022.07.22,"민지(MINJI), 하니(HANNI), 다니엘(DANIELLE), 해린(HAERIN), 혜인(HYEIN)",여성,그룹
이창섭,대한민국,"발라드, 국내드라마, 록/메탈",2018.12.11,,남성,솔로
이영지,대한민국,"랩/힙합, POP, 국내드라마",2019.11.02,,여성,솔로
i-dle (아이들),대한민국,"댄스, POP, 록/메탈",2018.05.02,"소연 (SOYEON), 미연 (MIYEON), 우기 (YUQI), 슈화 (SHUHUA), 민니 (MINNIE)",여성,그룹
순순희(지환),대한민국,"발라드, 인디음악, 랩/힙합",2018.04.17,,남성,솔로
KISS OF LIFE,대한민국,"댄스, R&B/Soul, 발라드",2023.07.05,"쥴리 (KISS OF LIFE), 나띠 (KISS OF LIFE), 벨 (KISS OF LIFE), 하늘 (KISS OF LIFE)",여성,그룹
TWS (투어스),대한민국,"댄스, 국내드라마, 발라드",2024.01.22,"신유, 도훈, 영재 (TWS), 한진, 지훈, 경민",남성,그룹
아이유,대한민국,"발라드, 댄스, 록/메탈",2008.09.18,,여성,솔로
아일릿(ILLIT),대한민국,"댄스, POP, 애니메이션/웹툰",2024.03.25,"윤아, 민주 (아일릿(ILLIT)), 모카, 원희 (아일릿(ILLIT)), 이로하",여성,그룹
